finess;numero_finess_ej;raison_sociale;raison_sociale_longue;complement_raison_sociale;complement_distribution;numero_voie;type_voie;libelle_voie;complement_voie;lieu_dit_bp;commune;code_commune;departement;libelle_departement;ligne_acheminement;telephone;telecopie;categorie_etablissement;libelle_categorie_etablissement;categorie_agregat_etablissement;libelle_categorie_agregat_etablissement;numero_siret;code_ape;code_mft;libelle_mft;code_sph;libelle_sph;date_ouverture;date_autorisation;date_mise_a_jour_structure;numero_education_nationale;coordxet;coordyet;sourcecoordet;date_mise_a_jour_coordonnees;nom_officiel_commune;code_officiel_region;nom_officiel_region;code_officiel_epci;nom_officiel_epci;adresse;coord
780011490;780011482;SARL PHARMACIE DEMAZURE;SARL PHARMACIE DEMAZURE;;;;;;;;455;78455;78;YVELINES;78590 NOISY LE ROI;0134629654;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;81912458700018;;01;Etablissement Tarif Libre;;;2016-06-01;1966-04-26;2024-04-09;;631341.8;6860807.6;4,ATLASANTE,.,ADMIN-EXPRESS-2023,LAMBERT_93_METROPOLE;2024-09-03;Noisy-le-Roi;11;Île-de-France;247800584;Communauté d'agglomération Versailles Grand Parc (CAVGP);;48.84365497697612, 2.0644779712849006
780012340;780012332;SELAS PHARMACIE DE LA MALADRERIE;SELAS PHARMACIE DE LA MALADRERIE;;;50;AV;DE LA MALADRERIE;;;498;78498;78;YVELINES;78300 POISSY;0139650867;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;35223067600020;;01;Etablissement Tarif Libre;;;2023-07-01;1963-02-12;2024-08-07;;629148.7;6869430.2;1,ATLASANTE,85,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Poissy;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;50 AV DE LA MALADRERIE;48.920954815504246, 2.033159685466298
780021747;780021663;CERBALLIANCE IDF OUEST SITE POISSY GAM;CERBALLIANCE IDF OUEST SITE POISSY GAMBETTA;;;43;BD;GAMBETTA;;;498;78498;78;YVELINES;78300 POISSY;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;38960226900034;;01;Etablissement Tarif Libre;;;2012-02-20;2011-12-13;2023-03-02;;630187.7;6870463.2;1,ATLASANTE,83,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Poissy;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;43 BD GAMBETTA;48.93035710079466, 2.0471664526777626
780012779;780012738;CLIC COGITEY;CLIC COORDINATION GERONTO INTER TERRITOIRE EST YVELINES;;;6;AV;MARECHAL FRANCHET D'ESPEREY;;;646;78646;78;YVELINES;78004 VERSAILLES CEDEX;0139637415;0139637494;463;Centres Locaux Information Coordination P.A .(C.L.I.C.);4606;Centres de ressources;49227587000011;8532Z;01;Etablissement Tarif Libre;;;2005-12-13;2001-11-23;2024-02-26;;636810.7;6858045.0;1,ATLASANTE,100,BDADRESSE_v2.2_03-2024,LAMBERT_93_METROPOLE;2024-09-03;Versailles;11;Île-de-France;247800584;Communauté d'agglomération Versailles Grand Parc (CAVGP);6 AV MARECHAL FRANCHET D'ESPEREY;48.81937075449454, 2.1394001248811048
780012944;780012936;SELARL PHARMACIE RALAMBOTIANA;SELARL PHARMACIE RALAMBOTIANA;;;34;BD;HENRI BARBUSSE;;;545;78545;78;YVELINES;78210 ST CYR L ECOLE;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;79320503000018;;01;Etablissement Tarif Libre;;;2013-06-17;2003-05-26;2024-08-30;;631428.4;6855397.6;1,ATLASANTE,87,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Saint-Cyr-l'École;11;Île-de-France;247800584;Communauté d'agglomération Versailles Grand Parc (CAVGP);34 BD HENRI BARBUSSE;48.795012719849325, 2.0665292564924758
780020749;750719239;SAMSAH APF;SERVICE D ACCOMPAGNEMENT MEDICO SOCIAL POUR ADULTE HANDICAPE;;PAVILLON 10;164;AV;JOSEPH KESSEL;;;688;78688;78;YVELINES;78960 VOISINS LE BRETONNEUX;0130445220;0130445181;445;Service d'accompagnement médico-social adultes handicapés;4305;Services de Maintien à Domicile pour Handicapés;77568873208155;;09;ARS PCD mixte (2 arrêtés), habilité aide sociale;;;2010-07-23;2010-07-23;2018-01-31;;631023.1;6851980.1;1,ATLASANTE,87,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Voisins-le-Bretonneux;11;Île-de-France;200058782;Communauté d'agglomération de Saint-Quentin-en-Yvelines;164 AV JOSEPH KESSEL;48.764235279762545, 2.0615652692116972
780024378;770023539;CHU LA MANDRAGORE;;;;28;PL;SAINT JACQUES;;;361;78361;78;YVELINES;78200 MANTES LA JOLIE;0130929020;0130986096;219;Autre Centre d'Accueil;4601;Etablissements pour Adultes et Familles en Difficulté;;;35;Préfet de département Subvention;;;2017-01-01;;2023-07-04;;605859.7;6877464.9;1,ATLASANTE,85,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Mantes-la-Jolie;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;28 PL SAINT JACQUES;48.99021089399195, 1.7136200321213875
780013314;780013306;PHARMACIE DES ARCADES;PHARMACIE DES ARCADES;;;55;R;DE POLOGNE;;;551;78551;78;YVELINES;78100 ST GERMAIN EN LAYE;0134510139;0134512540;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;42475583300029;;01;Etablissement Tarif Libre;;;2008-06-02;1943-07-01;2024-07-02;;633189.5;6866797.9;1,ATLASANTE,86,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Saint-Germain-en-Laye;11;Île-de-France;200058519;Communauté d'agglomération Saint Germain Boucles de Seine;55 R DE POLOGNE;48.89771694028433, 2.0887101268440738
780013942;780013934;PHARMACIE DU PRINTEMPS;PHARMACIE DU PRINTEMPS;;;80;AV;MAURICE BERTEAUX;;;586;78586;78;YVELINES;78500 SARTROUVILLE;0139577344;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;83407723200017;;01;Etablissement Tarif Libre;;;2023-06-15;1997-05-13;2024-06-05;;638871.5;6871538.0;1,ATLASANTE,87,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Sartrouville;11;Île-de-France;200058519;Communauté d'agglomération Saint Germain Boucles de Seine;80 AV MAURICE BERTEAUX;48.940905446041945, 2.1655228729112563
780013819;750062929;SAAD AMELIS DOMICILE SERVICES;SAAD AMELIS DOMICILE SCES SITE VESINET;;;131;BD;CARNOT;;;650;78650;78;YVELINES;78110 LE VESINET;0139219099;;460;Service autonomie aide (SAA);4605;Etablissements et services multi-clientèles;48120950000026;8810A;01;Etablissement Tarif Libre;;;2018-02-20;2012-04-20;2023-10-18;;635001.5;6866797.9;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Le Vésinet;11;Île-de-France;200058519;Communauté d'agglomération Saint Germain Boucles de Seine;131 BD CARNOT;48.89790244457543, 2.1134235557749017
780014726;780014700;PHARMACIE DU VAL DE SEINE;PHARMACIE DU VAL DE SEINE;;;;;;;;643;78643;78;YVELINES;78540 VERNOUILLET;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;32099954300020;;01;Etablissement Tarif Libre;;;1993-08-13;1988-06-01;2024-07-09;;625580.7;6875222.7;4,ATLASANTE,.,ADMIN-EXPRESS-2023,LAMBERT_93_METROPOLE;2024-09-03;Vernouillet;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;;48.97263662600832, 1.9834582830064027
780023487;780023727;MSP PHILIPPE MARZE LES MUREAUX;MSP PHILIPPE MARZE LES MUREAUX;;;110;R;ARISTIDE BRIAND;;;440;78440;78;YVELINES;78130 LES MUREAUX;0134740144;;603;Maison de santé (L.6223-3);2103;Autres structures d'exercice libéral;82269772800019;8621Z;01;Etablissement Tarif Libre;;;2016-01-29;2016-01-29;2016-11-24;;620323.8;6876624.5;1,ATLASANTE,85,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Les Mureaux;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;110 R ARISTIDE BRIAND;48.98461066562249, 1.911395690408782
780018602;750063521;IME NOTRE ECOLE;IME NOTRE ECOLE;;;19;CHE;DES GRANDES TERRES;;;123;78123;78;YVELINES;78955 CARRIERES SOUS POISSY;0130062701;0130657524;183;Institut Médico-Educatif (I.M.E.);4101;Etab.Educ.Spéciale pour Déficients Mentaux et Handicapés;53846580800029;9499Z;05;ARS établissements médico-soc. non financés dotation globale;;;2003-08-08;2017-01-03;2024-03-18;0783502H;628065.3;6872451.2;1,ATLASANTE,87,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Carrières-sous-Poissy;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;19 CHE DES GRANDES TERRES;48.94799906827075, 2.0178643415698887
780022216;920028016;OUILAB - BIOSMOSE IDF SITE CARILLON;OUILAB - BIOSMOSE IDF SITE CARILLON;;;18;AV;DU GENERAL SARRAIL;;;146;78146;78;YVELINES;78400 CHATOU;;;611;Laboratoire de Biologie Médicale;3101;Laboratoires de Biologie Médicale;39849292600066;;01;Etablissement Tarif Libre;;;2013-04-05;2013-02-01;2023-10-26;;638070.5;6865727.2;1,ATLASANTE,85,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Chatou;11;Île-de-France;200058519;Communauté d'agglomération Saint Germain Boucles de Seine;18 AV DU GENERAL SARRAIL;48.88857684447283, 2.155437495301019
780016846;780016820;SSIAD DU PECQ;;SIMAD;;54;RTE;DE SARTROUVILLE LE MONTREAL;;;481;78481;78;YVELINES;78230 LE PECQ;0134511919;;354;Service de Soins Infirmiers A Domicile (S.S.I.A.D);4605;Etablissements et services multi-clientèles;25782547100036;8690D;54;Tarif AM - Services de Soins Infirmiers A Domicile;;;1998-09-01;2017-01-03;2023-01-17;;634477.8;6866751.6;4,ATLASANTE,.,ADMIN-EXPRESS-2023,LAMBERT_93_METROPOLE;2024-09-03;Le Pecq;11;Île-de-France;200058519;Communauté d'agglomération Saint Germain Boucles de Seine;54 RTE DE SARTROUVILLE LE MONTREAL;48.897433011109676, 2.1062880677757336
